ds,cargo,forecast_kt
2030-10-01,Нефтяные грузы,11774.981579829826
2030-11-01,Нефтяные грузы,11768.039663023179
2030-12-01,Нефтяные грузы,12141.234590696595
2031-01-01,Нефтяные грузы,11452.0962931336
2031-02-01,Нефтяные грузы,10748.651777660407
2031-03-01,Нефтяные грузы,11787.347565491264
2031-04-01,Нефтяные грузы,11027.364078876582
2031-05-01,Нефтяные грузы,10992.330567665076
2031-06-01,Нефтяные грузы,10604.733412383986
2031-07-01,Нефтяные грузы,10871.181408320414
2031-08-01,Нефтяные грузы,10762.17185319246
2031-09-01,Нефтяные грузы,10311.837916788087
2031-10-01,Нефтяные грузы,10832.97976646195
2031-11-01,Нефтяные грузы,10754.017546638166
2031-12-01,Нефтяные грузы,11153.464981593164
2032-01-01,Нефтяные грузы,10455.917664164677
2032-02-01,Нефтяные грузы,9761.832149728622
2032-03-01,Нефтяные грузы,10811.187280987679
2032-04-01,Нефтяные грузы,10015.680741582932
2032-05-01,Нефтяные грузы,10049.221478265115
2032-06-01,Нефтяные грузы,9569.573484415821
2032-07-01,Нефтяные грузы,9894.787714262238
2032-08-01,Нефтяные грузы,9764.523600537517
2032-09-01,Нефтяные грузы,9337.859727074589
2032-10-01,Нефтяные грузы,9891.086130791255
2032-11-01,Нефтяные грузы,9782.088244539162
2032-12-01,Нефтяные грузы,10135.797593068824
2033-01-01,Нефтяные грузы,9398.259443404519
2033-02-01,Нефтяные грузы,8723.349339562581
2033-03-01,Нефтяные грузы,9781.35247506835
2033-04-01,Нефтяные грузы,8995.752504001337
2033-05-01,Нефтяные грузы,9029.222087915923
2033-06-01,Нефтяные грузы,8555.192262960596
2033-07-01,Нефтяные грузы,8854.203773376315
2033-08-01,Нефтяные грузы,8742.864671144755
2033-09-01,Нефтяные грузы,8318.468408548248
2033-10-01,Нефтяные грузы,8833.845025265475
2033-11-01,Нефтяные грузы,8720.964500528582
2033-12-01,Нефтяные грузы,9023.841673891877
2034-01-01,Нефтяные грузы,8308.499308157076
2034-02-01,Нефтяные грузы,7912.177634578592
2034-03-01,Нефтяные грузы,8724.3530226987
2034-04-01,Нефтяные грузы,8038.094595182539
2034-05-01,Нефтяные грузы,8043.762894410441
2034-06-01,Нефтяные грузы,7812.163996030394
2034-07-01,Нефтяные грузы,8045.404354743224
2034-08-01,Нефтяные грузы,7977.691871350585
2034-09-01,Нефтяные грузы,7694.766765549201
2034-10-01,Нефтяные грузы,7937.967078303396
2034-11-01,Нефтяные грузы,7963.228574061993
2034-12-01,Нефтяные грузы,8237.050889544673
2035-01-01,Нефтяные грузы,8009.663468727532
2035-02-01,Нефтяные грузы,7677.182007348825
2035-03-01,Нефтяные грузы,8138.721787092701
2035-04-01,Нефтяные грузы,7738.519661271733
2035-05-01,Нефтяные грузы,7678.990369235113
2035-06-01,Нефтяные грузы,7587.744929591022
2035-07-01,Нефтяные грузы,7811.635390451115
2035-08-01,Нефтяные грузы,7750.390226399898
2035-09-01,Нефтяные грузы,7462.53637367661
2035-10-01,Нефтяные грузы,7716.266396652813
2035-11-01,Нефтяные грузы,7730.559454639008
2035-12-01,Нефтяные грузы,7987.462696385529
2036-01-01,Нефтяные грузы,7769.947427483122
2036-02-01,Нефтяные грузы,7413.534343340009
2036-03-01,Нефтяные грузы,7892.764218320005
2036-04-01,Нефтяные грузы,7536.52758148593
2036-05-01,Нефтяные грузы,7471.179944226758
2036-06-01,Нефтяные грузы,7395.6895602346885
2036-07-01,Нефтяные грузы,7579.403120307465
2036-08-01,Нефтяные грузы,7535.892941204253
2036-09-01,Нефтяные грузы,7232.675792243941
2036-10-01,Нефтяные грузы,7498.779915848695
2036-11-01,Нефтяные грузы,7522.66941123055
2036-12-01,Нефтяные грузы,7726.390321625446
2026-01-01,Остальные грузы,23610.61662491044
2026-02-01,Остальные грузы,23089.35034819068
2026-03-01,Остальные грузы,25124.89573231371
2026-04-01,Остальные грузы,24521.20910036428
2026-05-01,Остальные грузы,24984.751058710735
2026-06-01,Остальные грузы,23907.59733744933
2026-07-01,Остальные грузы,24015.002789754868
2026-08-01,Остальные грузы,23808.161786704266
2026-09-01,Остальные грузы,23221.893956407886
2026-10-01,Остальные грузы,23922.151106542584
2026-11-01,Остальные грузы,23271.196536269603
2026-12-01,Остальные грузы,23427.060635579284
2027-01-01,Остальные грузы,22008.91665367636
2027-02-01,Остальные грузы,21492.14018760164
2027-03-01,Остальные грузы,23482.903239157
2027-04-01,Остальные грузы,23037.359491808358
2027-05-01,Остальные грузы,23522.186260630508
2027-06-01,Остальные грузы,22493.822769055037
2027-07-01,Остальные грузы,22839.143630434304
2027-08-01,Остальные грузы,22679.20924614113
2027-09-01,Остальные грузы,22056.99646753606
2027-10-01,Остальные грузы,22759.17188871283
2027-11-01,Остальные грузы,22109.419493003665
2027-12-01,Остальные грузы,22140.82622724527
2028-01-01,Остальные грузы,20771.38570669023
2028-02-01,Остальные грузы,20231.21545666486
2028-03-01,Остальные грузы,22247.157760392856
2028-04-01,Остальные грузы,21777.816714031916
2028-05-01,Остальные грузы,22305.08721476264
2028-06-01,Остальные грузы,21301.53971895179
2028-07-01,Остальные грузы,21642.534955895168
2028-08-01,Остальные грузы,21541.524558684945
2028-09-01,Остальные грузы,20898.377470059284
2028-10-01,Остальные грузы,21624.84083408714
2028-11-01,Остальные грузы,20966.95209301939
2028-12-01,Остальные грузы,21045.205117902955
2029-01-01,Остальные грузы,19673.261934568385
2029-02-01,Остальные грузы,19101.32142380212
2029-03-01,Остальные грузы,21157.907484933436
