cargo,split,model,RMSE,MAE,MAPE,status
Минерально-строит.,5,RandomForest,1525.7668514282288,1246.030404482258,11.373444455457982,ok
Минерально-строит.,5,Ridge,1178.2676695532189,929.8379168197156,7.7459618081021695,ok
Минерально-строит.,5,SARIMA,2658.56985296812,2309.935909644018,20.140670801736427,ok
Минерально-строит.,5,ETS,2749.4673403546135,2308.7579288685447,19.90484364749421,ok
Черные металлы,1,GradBoost,232.53183948651505,194.63792622850494,2.7729828515374226,ok
Черные металлы,1,RandomForest,294.64499827686325,223.58979485891015,3.241840075908615,ok
Черные металлы,1,Ridge,467.0327859194021,326.04685058027377,4.473787168423668,ok
Черные металлы,1,SARIMA,581.1597985037703,522.6263500078421,7.3273457272427525,ok
Черные металлы,1,ETS,1434.0193845552712,1339.9355410556093,18.712430338958242,ok
Черные металлы,2,GradBoost,622.4517244736843,525.9840220266293,6.695647758079708,ok
Черные металлы,2,RandomForest,612.9392511961671,518.2703837143766,6.630701044816877,ok
Черные металлы,2,Ridge,1006.3145170556787,849.0449051965053,10.837748257167036,ok
Черные металлы,2,SARIMA,496.94067001002276,433.8538072342023,5.629620087651216,ok
Черные металлы,2,ETS,1208.6596018562454,1100.1569888673675,14.530283990097189,ok
Черные металлы,3,GradBoost,864.9902655769582,720.6633154847165,10.664242068719291,ok
Черные металлы,3,RandomForest,725.0347818251358,595.6884114107326,8.828235143606216,ok
Черные металлы,3,Ridge,825.0110990339798,651.4330163545322,9.65749239107473,ok
Черные металлы,3,SARIMA,1261.6882844276058,1104.988870942474,16.190429274582254,ok
Черные металлы,3,ETS,1189.5576109525887,1019.7563265864783,14.964313062776185,ok
Черные металлы,4,GradBoost,607.813163527753,507.0629149222248,7.178450160471092,ok
Черные металлы,4,RandomForest,508.7717254093592,428.38692997100844,6.3148792267702385,ok
Черные металлы,4,Ridge,554.4762815077813,446.91512107887837,6.565022159861584,ok
Черные металлы,4,SARIMA,469.5844468380177,388.5462725600889,5.872302435329729,ok
Черные металлы,4,ETS,2122.971007558402,1932.2668798374973,28.89077748838182,ok
Черные металлы,5,GradBoost,530.1613726888061,443.5434273024159,6.89743860264011,ok
Черные металлы,5,RandomForest,577.9223342540963,476.4869350615298,7.903464942845666,ok
Черные металлы,5,Ridge,490.79468911698706,386.26696529429,6.224196262620212,ok
Черные металлы,5,SARIMA,909.5498211039231,833.3377879850947,12.597278758309985,ok
